Symbol,MarketCap
META,1452205801472.0
ANGI,199942320.0
BIDU,31690196992.0
BILI,6934640128.0
BMBL,435135616.0
BODI,44801128.0
BZ,7279786496.0
BZFD,92501560.0
CCG,43118380.0
CHAI,6722793.0
DIBS,150596512.0
DJT,2612647936.0
DOYU,128260152.0
EVER,946187328.0
GIBO,79443472.0
GIFT,28800668.0
GITS,5988959.0
GOOG,4199025999872.0
GOOGL,4243298189312.0
GRPN,796633152.0
IAC,
IZEA,53293836.0
JFIN,121927832.0
JOYY,3778633472.0
LCFY,5488577.0
MNY,38351980.0
MOMO,852502528.0
MTCH,9839181824.0
NAMI,7685740.0
NBIS,60343705600.0
NRDS,646902528.0
ONFO,1207000.0
OPRA,1725886464.0
PERI,404768320.0
PODC,81379752.0
RUM,5072138240.0
SEAT,81892104.0
SJ,42462768.0
SLE,184355904.0
SOGP,51634184.0
TBLA,999574976.0
TEAD,54220228.0
TRVG,389482688.0
TZOO,69579944.0
UPWK,1091655424.0
UPXI,80063072.0
VBIX,
WB,1749188736.0
WBTN,1282469632.0
WSHP,54664512.0
Z,8115737088.0
ZG,8340612096.0
AREN,44754012.0
ATHM,2501512192.0
CARS,660593664.0
CMCM,94047040.0
FENG,17929686.0
FVRR,344407968.0
GENI,2127634304.0
GETY,112075120.0
MAX,787242112.0
NXDR,924567744.0
PINS,13398966272.0
RDDT,31254812672.0
SNAP,10011890688.0
SPOT,113599668224.0
SSTK,204690160.0
STUB,2602032640.0
TME,14309773312.0
YELP,1286047872.0
ZDGE,38421776.0
ZH,269394976.0
ZIP,357683776.0
AAPL,4522736353280.0
BOXL,4334717.0
FEBO,7880925.0
FOXX,20243428.0
GPRO,112252488.0
KOSS,32659212.0
RIME,4959421.0
SONO,1808714880.0
TBCH,230139808.0
UEIC,56307720.0
VUZI,231294992.0
WLDS,6073672.0
WTO,1894915.0
AXIL,42641756.0
LPL,3380000000.0
MSN,9784833.0
SONY,140784025600.0
ZEPP,74644752.0
NVDA,5160284192768.0
ADI,181062729728.0
AIP,1141803392.0
ALAB,49035563008.0
ALGM,6978892288.0
ALMU,260301888.0
AMD,782249361408.0
AOSL,805334912.0
ARM,257985740800.0
AVGO,1697219084288.0
CEVA,762412288.0
CRDO,42239107072.0
CRUS,5584599552.0
DIOD,4280505856.0
GFS,25196343296.0
GSIT,229058256.0
HIMX,2384402432.0
ICG,57633832.0
IMOS,1931871488.0
INDI,836702848.0
INTC,462428504064.0
IPWR,77242872.0
LAES,565845952.0
LASR,2497985536.0
LEDS,15967667.0
LSCC,16489714688.0
MCHP,39911141376.0
MCHPP,
MOBX,20539604.0
MPWR,64089845760.0
MRAM,429290624.0
MRVL,216030625792.0
MTSI,20335286272.0
MU,1053689905152.0
MXL,6018400256.0
NVEC,516802912.0
NVTS,3248002816.0
NXPI,56673898496.0
ON,28229494784.0
